Impact Rating,Most Visited Event,Visit Frequency,Benefits,Age,Gender
Positive,DIY Cinema,Monthly,Improved Social Connections,45-55,other
Positive,Concert,Weekly,Enhanced Cultural Awareness,18-30,other
Very negative,Exhibition,Weekly,Emotional Well-being,31-44,female
Very positive,Debates,Weekly,Improved Social Connections,31-44,male
Positive,Concert,Weekly,Support for Local Artists and Initiatives,18-30,other
Positive,DIY Cinema,Weekly,Sense of Belonging to a Community,45-55,female
Very negative,Free kitchen,Weekly,Enhanced Cultural Awareness,56 and above,female
Positive,Concert,Monthly,Emotional Well-being,56 and above,male
Positive,Concert,Weekly,Inspiration and Creativity,18-30,female
Very positive,Free kitchen,Weekly,Sense of Belonging to a Community,under 18,male
Neutral,DIY Cinema,Weekly,Sense of Belonging to a Community,31-44,other
Negative,DIY Cinema,Weekly,Sense of Belonging to a Community,31-44,female
Positive,DIY Cinema,Weekly,Improved Social Connections,31-44,male
Positive,Concert,Weekly,Emotional Well-being,31-44,female
Very positive,Swapshop,Weekly,Inspiration and Creativity,under 18,other
Very positive,Debates,Weekly,Inspiration and Creativity,under 18,male
Positive,Swapshop,Weekly,Support for Local Artists and Initiatives,56 and above,male
Neutral,Concert,Weekly,Support for Local Artists and Initiatives,31-44,male
Neutral,Exhibition,Weekly,Sense of Belonging to a Community,31-44,other
Positive,Debates,Weekly,Sense of Belonging to a Community,56 and above,female
Neutral,Free kitchen,Weekly,Inspiration and Creativity,18-30,other
Positive,Concert,Weekly,Inspiration and Creativity,18-30,female
Very positive,Queer bar,Weekly,Sense of Belonging to a Community,56 and above,other
Very positive,Concert,Weekly,Inspiration and Creativity,31-44,male
Positive,Concert,Weekly,Sense of Belonging to a Community,under 18,female
Positive,Debates,Weekly,Improved Social Connections,under 18,other
Very positive,Concert,Weekly,Inspiration and Creativity,31-44,female
Very negative,Free kitchen,Weekly,Inspiration and Creativity,18-30,other
Very positive,DIY Cinema,Weekly,Enhanced Cultural Awareness,under 18,other
Very positive,Concert,Weekly,Sense of Belonging to a Community,31-44,other
Very positive,DIY Cinema,Weekly,Improved Social Connections,45-55,other
Very positive,Concert,Monthly,Support for Local Artists and Initiatives,under 18,male
Very positive,DIY Cinema,Weekly,Emotional Well-being,18-30,female
Neutral,Community meetings,Weekly,Support for Local Artists and Initiatives,45-55,other
Very positive,Debates,Weekly,Sense of Belonging to a Community,under 18,other
Very positive,Debates,Weekly,Sense of Belonging to a Community,18-30,other
Very positive,Exhibition,Weekly,Support for Local Artists and Initiatives,18-30,other
Very positive,Swapshop,Weekly,Emotional Well-being,31-44,other
Positive,Debates,Monthly,Sense of Belonging to a Community,18-30,male
Very positive,Queer bar,Weekly,Enhanced Cultural Awareness,18-30,other
Very positive,Concert,Weekly,Sense of Belonging to a Community,under 18,other
Neutral,Concert,Weekly,Inspiration and Creativity,45-55,male
Very positive,Concert,Weekly,Inspiration and Creativity,31-44,other
Very positive,Exhibition,Weekly,Improved Social Connections,45-55,other
